SWIFT CODE;NAME;ADDRESS
COPAUYM1XXX;COPAB;DIAGONAL FABINI 777  MONTEVIDEO, MONTEVIDEO, 11100
COPXMTMTXXX;W AND J COPPINI AND CO;144 TOWER ROAD  SLIEMA, SLIEMA, SLM 1604
CRBAALTRXXX;BANKA OTP ALBANIA SH.A;  TIRANA, TIRANA
CREDCLRMXXX;BANCO DE CREDITO E INVERSIONES;  
CREXBGSFXXX;TOKUDA BANK AD;GEORG WASHINGTON 21  SOFIA, SOFIA, 1000
CRFVMTM1XXX;CRYSTAL FINANCE INVESTMENTS LTD.;6 FREEDOM SQUARE  VALLETTA, VALLETTA, VLT 1060
CRLYMCM1BAS;LCL (LE CREDIT LYONNAIS) MONACO;21 AVENUE DES BEAUX ARTS  MONACO, MONACO, 98000
CRLYMCM1CAE;LCL (LE CREDIT LYONNAIS) MONACO;1 AVENUE DES CITRONNIERS  MONACO, MONACO, 98000
CRLYMCM1FVI;LCL (LE CREDIT LYONNAIS) MONACO;13 AVENUE DU PRINCE HEREDITAIRE  MONACO, MONACO, 98000
CRLYMCM1LCM;LCL (LE CREDIT LYONNAIS) MONACO;7 AVENUE PRINCE PIERRE  MONACO, MONACO, 98000
